38.3307,22.4531,31.6198,27.8718,27.364,22.601,34.0749,17.1824
13.7388,30.2303,25.6479,20.6144,33.2003,29.9678,21.2911,39.5838
29.8368,35.0591,44.3365,28.368,49.5917,39.756,35.092,46.4472
37.183,10.0272,38.0054,0.229802,45.7003,0.875711,44.8779,10.6731
21.0553,-0.808055,32.5563,0.157345,31.798,9.19019,20.2971,8.22479
0.869646,31.4925,12.7084,28.1309,15.3486,37.429,3.50987,40.7906
56.5062,44.7742,56.5613,30.1678,68.0332,30.211,67.9781,44.8175
2.47671,7.59755,5.54211,16.292,-1.2865,18.6996,-4.35191,10.0051
25.6479,20.6144,27.364,22.601,31.6198,27.8718,33.2003,29.9678
32.5563,0.157345,38.0054,0.229802,37.183,10.0272,31.798,9.19019
13.7388,30.2303,12.7084,28.1309,21.2911,39.5838,15.3486,37.429
31.6198,27.8718,38.3307,22.4531,44.3365,28.368,29.8368,35.0591
44.3365,28.368,56.5613,30.1678,56.5062,44.7742,49.5917,39.756
-1.2865,18.6996,5.54211,16.292,12.7084,28.1309,0.869646,31.4925
